item1,item2,item3,item4,item5,item6,item7,item8,item9
juice,milk,milk,juice,spoon,cereal,bowl,,
milk,juice,buttermilk,milk,juice,cereal,spoon,glass,bowl
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,cereal,bowl,,
juice,milk,cereal,spoon,bowl,glass,,,
juice,milk,spoon,spoon,glass,cereal,bowl,,
milk,juice,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,cereal,bowl,,
juice,milk,cereal,spoon,glass,bowl,,,
juice,milk,cereal,spoon,glass,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
cereal,spoon,glass,bowl,juice,milk,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,spoon,cereal,bowl,bowl,glass,,
juice,milk,spoon,cereal,glass,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,cereal,spoon,glass,bowl,,,
juice,cocoa,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,cereal,spoon,glass,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
buttermilk,juice,spoon,glass,cereal,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,spoon,cereal,glass,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
milk,juice,spoon,glass,cereal,bowl,,,
juice,milk,cereal,spoon,glass,bowl,,,
milk,juice,spoon,cereal,glass,bowl,,,
juice,milk,cereal,spoon,glass,bowl,,,
juice,milk,spoon,cereal,bowl,milk,glass,,
juice,milk,spoon,cereal,glass,bowl,,,
juice,milk,cereal,spoon,glass,glass,bowl,,
juice,milk,spoon,cereal,glass,bowl,,,
juice,milk,spoon,glass,cereal,bowl,,,
juice,milk,cereal,spoon,glass,bowl,,,
